,name,categories,price,href
88,DeepCool PM750D 80 Plus Gold Semi Modular (UK) Power Supply,Power Supply,"₨24,000",https://xtremehardware.pk/product/deepcool-pm750d-80-plus-gold-semi-modular-uk-power-supply/
89,DeepCool GAMMAXX L240 ARGB CPU Liquid Cooler Black,Cooling Solutions,"₨24,300",https://xtremehardware.pk/product/deepcool-gammaxx-l240-argb-cpu-liquid-cooler-black/
90,DeepCool GAMMAXX L240 ARGB CPU Liquid Cooler White,Cooling Solutions,"₨25,700",https://xtremehardware.pk/product/deepcool-gammaxx-l240-argb-cpu-liquid-cooler-white/
91,Basic 1,Pre Build PC,"₨25,999",https://xtremehardware.pk/product/basic-01/
92,SILVERSTONE PF240 ARGB,Cooling Solutions,"₨26,880",https://xtremehardware.pk/product/silverstone-pf240-argb/
93,EASE O22V75 22″ Full HD,LCD/LED Montiors,"₨26,999",https://xtremehardware.pk/product/ease-o22v75-22%e2%80%b3-full-hd/
94,AEROCOOL DRYFT,Casing,"₨27,499",https://xtremehardware.pk/product/aerocool-dryft/
95,GIGABYTE B450M GAMING,Motherboard,"₨27,500",https://xtremehardware.pk/product/gigabyte-b450m-gaming-price-in-pakistan/
96,XPG KYBER 850WATT 80PLUS GOLD PSU,Power Supply,"₨27,500",https://xtremehardware.pk/product/xpg-kyber-850watt-80plus-gold-psu/
97,ASUS PRIME B450M-K II,Motherboard,"₨27,500",https://xtremehardware.pk/product/asus-prime-b450m-k-ii/
98,DeepCool LS720S Zero Dark Liquid CPU Cooler,Cooling Solutions,"₨27,500",https://xtremehardware.pk/product/deepcool-ls720s-zero-dark-liquid-cpu-cooler/
99,ASUS PRIME H510M-K,Motherboard,"₨28,000",https://xtremehardware.pk/product/asus-prime-h510m-k-2/
100,Lian Li LANCOOL 205 Mesh Tempered Glass Side Panel Mid-Tower ATX Computer Case PC Gaming Case Black,Casing,"₨28,500",https://xtremehardware.pk/product/lancool-205-mesh-black/
101,Lian Li LANCOOL 215 Case Snow White,Casing,"₨28,500",https://xtremehardware.pk/product/lian-li-lancool-215-case-snow-white/
102,ID-Cooling ZoomFlow 360XT 360mm ARGB AIO Liquid CPU Cooler Black,Cooling Solutions,"₨29,000",https://xtremehardware.pk/product/id-cooling-zoomflow-360xt-360mm-argb-aio-liquid-cpu-cooler-black/
103,MSI X470 GAMING PLUS (WITHOUT BOX),Motherboard,"₨30,000",https://xtremehardware.pk/product/msi-x470-gaming-plus-without-box/
104,MSI GAMING GeForce GTX 1060 3GB,Graphic Cards,"₨30,000",https://xtremehardware.pk/product/msi-gaming-geforce-gtx-1060-3gb/
105,ID-Cooling ZoomFlow 360XT 360mm ARGB AIO Liquid CPU Cooler Snow White,Cooling Solutions,"₨30,000",https://xtremehardware.pk/product/id-cooling-zoomflow-360xt-360mm-argb-aio-liquid-cpu-cooler-snow-white/
106,ASUS PRIME B450M-A II,Motherboard,"₨30,250",https://xtremehardware.pk/product/asus-prime-b450m-a-ii/
107,GIGABYTE B450M S2H,Motherboard,"₨30,500",https://xtremehardware.pk/product/gigabyte-b450m-s2h/
108,DeepCool GAMMAXX L360 ARGB CPU Liquid Cooler White,Cooling Solutions,"₨31,000",https://xtremehardware.pk/product/deepcool-gammaxx-l360-argb-cpu-liquid-cooler-white/
109,Corsair 3000D RGB AIRFLOW Mid-Tower PC Case – Black,Casing,"₨31,000",https://xtremehardware.pk/product/corsair-3000d-rgb-airflow-mid-tower-pc-case-black/
110,SILVERSTONE ICEMYST 240,Cooling Solutions,"₨31,360",https://xtremehardware.pk/product/silverstone-icemyst-240/
111,GIGABYTE B560M GAMING HD,Motherboard,"₨31,500",https://xtremehardware.pk/product/gigabyte-b560m-gaming-hd/
112,DeepCool LS520 240mm CPU Liquid Cooler Black,Cooling Solutions,"₨31,500",https://xtremehardware.pk/product/deepcool-ls520-240mm-cpu-liquid-cooler-black/
113,ASUS PRIME A620M-E,Motherboard,"₨31,900",https://xtremehardware.pk/product/asus-prime-a620m-e/
114,MSI B450M PRO-VDH MAX D4,Motherboard,"₨32,000",https://xtremehardware.pk/product/msi-b450m-pro-vdh-max-d4/
115,GIGABYTE B560M GAMING HD,Motherboard,"₨32,000",https://xtremehardware.pk/product/gigabyte-b560m-gaming-hd-2/
116,AMD Ryzen 5 5600 Tray,Processors,"₨32,000",https://xtremehardware.pk/product/amd-ryzen-5-5600-tray/
117,Cougar Blazer Essence Mid Tower Case,Casing,"₨32,000",https://xtremehardware.pk/product/cougar-blazer-essence-mid-tower-case-2/
118,GIGABYTE B450M DS3H V2,Motherboard,"₨33,000",https://xtremehardware.pk/product/gigabyte-b450m-ds3h-v2/
119,ASUS PRIME H610M-K D4,Motherboard,"₨33,000",https://xtremehardware.pk/product/asus-prime-h610m-k-d4/
120,SILVERSTONE PF360 ARGB V2,Cooling Solutions,"₨33,040",https://xtremehardware.pk/product/silverstone-pf360-argb-v2/
121,DeepCool LS520 240mm AIO Liquid CPU Cooler White,Cooling Solutions,"₨33,500",https://xtremehardware.pk/product/deepcool-ls520-240mm-aio-liquid-cpu-cooler-white/
122,GigaByte H610M-H,Motherboard,"₨34,000",https://xtremehardware.pk/product/gigabyte-h610m-h/
123,SILVERSTONE SST DA750R-GMA Black,Power Supply,"₨34,160",https://xtremehardware.pk/product/silverstone-sst-da750r-gma-black/
124,SILVERSTONE PF360 WHITE ARGB V2,Cooling Solutions,"₨34,160",https://xtremehardware.pk/product/silverstone-pf360-white-argb-v2/
125,AMD Ryzen 5 5600,Processors,"₨34,500",https://xtremehardware.pk/product/amd-ryzen-5-5600/
126,Basic 2,Pre Build PC,"₨34,999",https://xtremehardware.pk/product/basic-02/
127,MSI GAMING GeForce GTX 1060 6GB,Graphic Cards,"₨35,000",https://xtremehardware.pk/product/msi-gaming-geforce-gtx-1060-6gb/
128,SILVERSTONE SST DA750R GMA White,Power Supply,"₨35,280",https://xtremehardware.pk/product/silverstone-sst-da750r-gma-white/
129,Intel Core i5-12400F Processor TRAY PACK,Processors,"₨36,000",https://xtremehardware.pk/product/intel-core-i5-12400f-processor-tray-pack/
130,DeepCool LT720 360mm CPU Liquid Cooler Black,Cooling Solutions,"₨36,500",https://xtremehardware.pk/product/deepcool-lt720-360mm-cpu-liquid-cooler-black/
131,MSI PRO B760M-E DDR4,Motherboard,"₨37,000",https://xtremehardware.pk/product/msi-pro-b760m-e-ddr4-price-pakistan/
132,DeepCool PX850G GOLD PCIe Gen 5 (UK) Power Supply,Power Supply,"₨37,000",https://xtremehardware.pk/product/deepcool-px850g-gold-pcie-gen-5-uk-power-supply/
133,EASE O24I10 24″ Full HD,LCD/LED Montiors,"₨37,499",https://xtremehardware.pk/product/ease-o24i10-24%e2%80%b3-full-hd/
134,DeepCool LT720 360mm CPU Liquid Cooler White,Cooling Solutions,"₨37,500",https://xtremehardware.pk/product/deepcool-lt720-360mm-cpu-liquid-cooler-white/
135,DeepCool LS720 360mm CPU Liquid Cooler Black,Cooling Solutions,"₨38,000",https://xtremehardware.pk/product/deepcool-ls720-360mm-cpu-liquid-cooler-black/
136,XPG Core Reactor II 750W 80 Plus Gold,Power Supply,"₨38,500",https://xtremehardware.pk/product/xpg-core-reactor-ii-750w-80-plus-gold/
137,ASUS PRIME H610M-K ARGB D5,Motherboard,"₨38,500",https://xtremehardware.pk/product/asus-prime-h610m-k-argb-d5/
138,"ASUS Prime B760M-K D4, an Intel® B760 LGA 1700 mATX motherboard",Motherboard,"₨39,000",https://xtremehardware.pk/product/asus-prime-b760m-k-d4-an-intel-b760-lga-1700-matx-motherboard/
139,ASUS VZ24EHE 24″ 1080P FHD IPS Eye Care Monitor,LCD/LED Montiors,"₨39,600",https://xtremehardware.pk/product/asus-vz24ehe-24-1080p-fhd-ips-eye-care-monitor/
140,GIGABYTE B550M DS3H,Motherboard,"₨40,000",https://xtremehardware.pk/product/gigabyte-b550m-ds3h/
141,B450 AORUS PRO WIFI,Motherboard,"₨40,000",https://xtremehardware.pk/product/b450-aorus-pro-wifi/
142,DeepCool LS720 360mm AIO Liquid CPU Cooler White,Cooling Solutions,"₨40,000",https://xtremehardware.pk/product/deepcool-ls720-360mm-aio-liquid-cpu-cooler-white/
143,Asus Prime B550M-K,Motherboard,"₨40,700",https://xtremehardware.pk/product/asus-prime-b550m-k/
144,ASUS Prime 750W Gold,Power Supply,"₨41,800",https://xtremehardware.pk/product/asus-prime-750w-gold/
145,ASUS TUF Gaming LC II 360 ARGB,Cooling Solutions,"₨41,800",https://xtremehardware.pk/product/asus-tuf-gaming-lc-ii-360-argb/
146,ASUS ROG STRIX LC II 240,Cooling Solutions,"₨41,800",https://xtremehardware.pk/product/asus-rog-strix-lc-ii-240/
147,Gigabyte B550M AORUS ELITE Motherboard,Motherboard,"₨42,000",https://xtremehardware.pk/product/gigabyte-b550m-aorus-elite-motherboard/
